Moderate,,,,,,Critical,,,
Tim3_CTL (scale),Tim3_CD4/Treg (scale),PDCD1_CD4/Treg (scale),PDCD1_CTL (scale),,,Tim3_CTL (scale),Tim3_CD4/Treg (scale),PDCD1_CTL(scale),PDCD1_Treg (scale)
0,0,0,0,,,0,0,0.870507351,0
0,0,0,0,,,0,0,0,0
0,0,0,0.958267804,,,0,0,0,0
0.930062636,0,1.206329647,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0.73484127,0,0.762742143,0
0,0,0,0,,,1.398826543,0,0,0.994752805
0,0,0,0,,,0,0,0.87648627,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0.639576209
0,0,0,0,,,0,0,0,0.821865164
1.276330239,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0.998316579,0,,,0,0,0,1.033842898
0,0,0,0,,,0,0,2.117833062,0
0,0,0.782529376,0,,,0,0,0,0
0,0,1.584702905,0,,,0,0,0,0
0,0,0,0,,,0,0.986070328,0,1.016655023
0,0.592678673,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,1.120097978,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,1.140955221
0,0,0,0,,,0,0,0,0
0,0,0.954010918,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
1.35320916,0,0,0,,,0,0,0,0
0,0,1.274811114,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,1.154209701,0,,,0,0,0,0
0,0,0,0,,,0,0,1.039073521,0
0.86304668,0,0,0,,,0,2.641315203,0,0
0,0,0,0,,,1.007869877,0.857756655,0,0.904387346
0,0,0,0,,,0,2.042723335,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,1.105491712,0
0,1.1187167,1.635166667,0,,,0,0,0,0
1.209753792,0,0,0,,,0,0,0,0
0,1.920729841,1.069820068,0,,,2.095872549,0,0,0
0,0,1.646385927,0,,,0,0,0,0
1.132471695,0,0,0,,,0,0,0,1.26175042
0,0,1.563308874,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0.958488206,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,1.302115718,0,0,0
0,1.005890679,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,1.449546742,1.888008534
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,1.447098316
0,0,0,0,,,0,0,0,0
0,1.120677238,0,0,,,0,0,0,0
0,0,1.317479836,0,,,0,0,0,3.490536263
1.175138198,0,0,1.183629265,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,1.25315295
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,1.137168864,0,0.718389396
0,0,0,0,,,0,0,0,1.301611257
0,0,0,0,,,0,0,0,0
0,0,0,0,,,1.136608991,0,0,0.959778153
0,0.727844451,1.685145059,0,,,1.195931526,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,2.774832506
0,0,1.437587819,0,,,0.835619164,1.837378583,1.283009585,0
0,0,0,0,,,0,0,0,0
1.120382391,0,0,0,,,0,1.547058682,0,2.136274789
1.056050124,0,0,1.06211143,,,0,1.392754434,0,1.961533189
0,1.861928437,1.866989052,0,,,0,0.635710667,1.753017189,2.166883096
0,0,0,0,,,0,0,0,2.615205315
